Gene	OMIM_ID	original_url	lsdb_home_url	comments
ABCA13	NA	http://chromium.liacs.nl/LOVD2/home.php?select_db=ABCA13	http://chromium.liacs.nl/LOVD2/home.php?select_db=ABCA13	
ABCB11	NA	https://research.cchmc.org/LOVD/home.php?select_db=ABCB11	https://research.cchmc.org/LOVD/home.php?select_db=ABCB11	
ABCB4	NA	https://research.cchmc.org/LOVD/home.php?select_db=ABCB4	https://research.cchmc.org/LOVD/home.php?select_db=ABCB4	
ABCB7	300135	http://www.LOVD.nl/ABCB7	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=ABCB7	
ABCD1	NA	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=ABCD1	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=ABCD1	
ACE2	300335	http://www.LOVD.nl/ACE2	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=ACE2	
ACOT9	NA	http://www.LOVD.nl/ACOT9	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=ACOT9	
ACSL4	300157	http://www.LOVD.nl/ACSL4	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=ACSL4	
ACTA1	NA	http://www.dmd.nl/nmdb2/home.php?select_db=ACTA1	http://www.dmd.nl/nmdb2/home.php?select_db=ACTA1	
ACTRT1	300487	http://www.LOVD.nl/ACTRT1	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=ACTRT1	
AFF2	309548	http://www.LOVD.nl/AFF2	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=AFF2	
AGRN	NA	http://www.dmd.nl/nmdb2/home.php?select_db=AGRN	http://www.dmd.nl/nmdb2/home.php?select_db=AGRN	
AGTR2	300034	http://www.LOVD.nl/AGTR2	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=AGTR2	
AIFM1	300169	http://www.LOVD.nl/AIFM1	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=AIFM1	
AKAP14	300462	http://www.LOVD.nl/AKAP14	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=AKAP14	
AKAP4	300185	http://www.LOVD.nl/AKAP4	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=AKAP4	
AKAP9	NA	http://www.china-hvp.org/LOVD/home.php?select_db=AKAP9	http://www.china-hvp.org/LOVD/home.php?select_db=AKAP9	
AKAP9	NA	http://www.genomed.org/LOVD/home.php?select_db=AKAP9	http://www.genomed.org/LOVD/home.php?select_db=AKAP9	
ALDH5A1	610045	http://www.lovd.nl/ALDH5A1	http://grenada.lumc.nl/LOVD2/vumc/home.php?select_db=ALDH5A1	
ALG13	300776	http://www.LOVD.nl/ALG13	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=ALG13	
ALOX5AP	NA	http://lovd.bx.psu.edu/home.php?select_db=ALOX5AP	http://lovd.bx.psu.edu/home.php?select_db=ALOX5AP	
AMELX	300391	http://www.LOVD.nl/AMELX	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=AMELX	
AMMECR1	300195	http://www.LOVD.nl/AMMECR1	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=AMMECR1	
AMOT	300410	http://www.LOVD.nl/AMOT	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=AMOT	
ANK2	NA	http://www.china-hvp.org/LOVD/home.php?select_db=ANK2	http://www.china-hvp.org/LOVD/home.php?select_db=ANK2	
ANK2	NA	http://www.genomed.org/LOVD/home.php?select_db=ANK2	http://www.genomed.org/LOVD/home.php?select_db=ANK2	
ANO5	NA	http://www.dmd.nl/nmdb2/home.php?select_db=ANO5	http://www.dmd.nl/nmdb2/home.php?select_db=ANO5	
AP1S2	300629	http://www.LOVD.nl/AP1S2	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=AP1S2	
APC	611731	http://china-hvp.org/LOVD/?select_db=APC	http://www.china-hvp.org/LOVD/home.php?select_db=APC	
APC	611731	http://chromium.liacs.nl/LOVD2/colon_cancer/home.php?select_db=APC	http://chromium.liacs.nl/LOVD2/colon_cancer/home.php?select_db=APC	
APC	611731	http://www.genomed.org/LOVD/home.php?select_db=APC	http://www.genomed.org/LOVD/home.php?select_db=APC	
APEX2	300773	http://www.LOVD.nl/APEX2	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=APEX2	
APLN	300297	http://www.LOVD.nl/APLN	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=APLN	
APOO	300753	http://www.LOVD.nl/APOO	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=APOO	
APOOL	NA	http://www.LOVD.nl/APOOL	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=APOOL	
AQP9	NA	http://lovd.bx.psu.edu/home.php?select_db=AQP9	http://lovd.bx.psu.edu/home.php?select_db=AQP9	
AR	NA	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=AR	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=AR	
ARAF	311010	http://www.LOVD.nl/ARAF	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=ARAF	
ARG1	608313	http://www.LOVD.nl/ARG1	http://chromium.liacs.nl/LOVD2/home.php?select_db=ARG1	
ARG2	NA	http://lovd.bx.psu.edu/home.php?select_db=ARG2	http://lovd.bx.psu.edu/home.php?select_db=ARG2	
ARHGAP4	300023	http://www.LOVD.nl/ARHGAP4	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=ARHGAP4	
ARHGAP6	300118	http://www.LOVD.nl/ARHGAP6	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=ARHGAP6	
ARHGEF6	300267	http://www.LOVD.nl/ARHGEF6	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=ARHGEF6	
ARMCX1	300362	http://www.LOVD.nl/ARMCX1	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=ARMCX1	
ARMCX2	300363	http://www.LOVD.nl/ARMCX2	http://grenada.lumc.nl/LOVD2/MR/home.php?select_db=ARMCX2	
