GeneId	Pmidlist
2876781	P08183O60213	
11850849	Q8TDY2
8912525	Q13798
8407947	Q9UD93
9405678	Q99985
9473684	Q13509
11085512	Q9HCS4
8934543	Q99445
8797801	P52435
8797578	Q92887
9598870	Q8TDS3
10639512	P56945
10095106	Q9Y5P2
7873602	P30626
9582273	O75815
12039054	Q6PB30
17955490	A8E2S6
15604252	Q5QHG3
11431746	Q8TCY8
10851081	Q9NZG9
8706931	Q99758
11566359	Q8WZ76
16847352	Q0V8U0
1360704	P33527
11358853	Q9Y5T4
8275466	Q16095
2167164	Q05877
12398897	O95571
1748303	P62851
