"av_size"	"rsca_p_sum"	"rsca_n_sum"
"1"	8	27	38
"2"	10	19	21
"3"	4	110	70
"4"	1	459	80
"5"	6	47	45
"6"	2	213	97
"7"	5	80	54
"8"	13	3	13
"9"	41	0	2
"10"	3	130	65
"11"	26	2	1
"12"	9	17	28
"13"	25	0	1
"14"	18	4	9
"15"	11	6	24
"16"	15	3	7
"17"	24	0	3
"18"	12	10	18
"19"	7	37	32
"20"	29	0	4
"21"	36	0	3
"22"	45	1	2
"23"	22	0	5
"24"	21	1	2
"25"	14	9	16
"26"	32	1	4
"27"	96	0	1
"28"	53	0	1
"29"	140	0	1
"30"	33	0	2
"31"	27	0	2
"32"	16	3	7
"33"	17	2	5
"34"	20	1	6
"35"	37	0	1
"36"	23	1	3
"37"	30	0	3
"38"	31	0	2
"39"	19	1	4
"40"	60	0	1
"41"	132	0	1
"42"	61	0	1
"43"	43	1	1
"44"	39	0	1
"45"	81	0	1
"46"	28	0	1
"47"	35	0	1
