mutant_dist	mutant_size	max_number
0	1	1067970
0	2	67255
0	3	2727
0	4	215
0	5	6
0	6	3
0	7	3
0	8	7
0	9	6
0	10	2
1	1	1106097
1	2	49097
1	3	3969
1	4	196
1	5	37
1	6	5
1	7	11
1	8	3
1	9	8
1	10	4
2	1	1094999
2	2	70443
2	3	7125
2	4	369
2	5	13
2	6	4
2	7	3
2	8	3
2	9	3
2	10	4
3	1	826430
3	2	51122
3	3	2420
3	4	365
3	5	14
3	6	4
3	7	2
3	8	4
3	9	2
3	10	2
4	1	1240081
4	2	53329
4	3	2454
4	4	165
4	5	15
4	6	5
4	7	3
4	8	3
4	9	4
4	10	3
5	1	1365202
5	2	49833
5	3	4176
5	4	92
5	5	19
5	6	8
5	7	2
5	8	4
5	9	8
5	10	3
